"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/06/2001,17:00,103.98,104.22,103.93,104.22,1593,0.009573,0.001915,0.007658,66.60,92.07,91.26,103.4520,103.7172,0.7680,0.5028,0,2,1
08/07/2001,17:00,104.20,104.68,104.14,104.67,4789,0.052861,0.012104,0.040757,69.48,95.16,92.69,103.6400,103.7028,1.0300,0.9672,0,3,1
08/08/2001,17:00,104.42,104.76,104.02,104.02,3645,0.034322,0.016547,0.017775,61.27,91.03,92.75,103.7100,103.6830,0.3100,0.3370,1,0,1
08/09/2001,17:00,104.01,104.13,103.86,104.12,2585,0.027383,0.018715,0.008669,62.01,85.26,90.48,103.8010,103.6414,0.3190,0.4786,2,0,1
08/10/2001,17:00,104.17,104.53,104.13,104.53,2119,0.054341,0.025840,0.028501,64.98,80.22,85.50,103.9040,103.6054,0.6260,0.9246,3,0,1
08/13/2001,17:00,104.52,104.75,104.30,104.30,1224,0.056496,0.031971,0.024525,62.05,80.15,81.88,104.0230,103.5708,0.2770,0.7292,4,0,1
08/14/2001,17:00,104.99,105.23,104.89,105.23,831,0.131728,0.051922,0.079805,68.28,89.79,83.39,104.2630,103.5742,0.9670,1.6558,5,0,1
08/15/2001,17:00,104.49,104.67,103.96,103.96,957,0.087858,0.059110,0.028749,55.01,74.89,81.61,104.3340,103.5602,0.3740,0.3998,6,0,1
08/16/2001,17:00,103.92,103.99,103.71,103.71,3380,0.032544,0.053796,-0.021253,52.83,61.25,75.31,104.2860,103.5500,0.5760,0.1600,7,0,1
08/17/2001,17:00,103.72,103.92,102.83,102.83,1691,-0.081364,0.026764,-0.108129,45.94,27.92,54.69,104.1590,103.5182,1.3290,0.6882,8,0,1
08/20/2001,17:00,102.83,103.41,102.77,103.41,1822,-0.123414,-0.003271,-0.120142,50.52,20.94,36.70,104.0780,103.4958,0.6680,0.0858,9,0,1
08/21/2001,17:00,103.38,103.94,103.36,103.94,2458,-0.112673,-0.025152,-0.087521,54.33,24.73,24.53,104.0050,103.4944,0.0650,0.4456,10,0,1
08/22/2001,17:00,103.95,104.42,103.88,104.30,5384,-0.074255,-0.034972,-0.039283,56.76,45.26,30.31,104.0330,103.4996,0.2670,0.8004,11,0,1
08/23/2001,17:00,103.60,103.86,103.55,103.85,3132,-0.079207,-0.043819,-0.035388,52.96,51.22,40.40,104.0060,103.4842,0.1560,0.3658,12,0,1
08/24/2001,17:00,103.91,104.12,103.85,104.12,2710,-0.060646,-0.047185,-0.013461,54.91,53.66,50.05,103.9650,103.4600,0.1550,0.6600,13,0,1
