"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/31/2005,17:00,145.48,155.57,145.48,154.12,292872,0.701994,0.140399,0.561595,68.39,89.72,87.50,142.0930,118.5764,12.0270,35.5436,2,0,1
09/30/2005,17:00,153.52,154.43,147.08,150.77,300333,0.976753,0.307670,0.669084,64.71,87.61,87.91,143.0010,119.5352,7.7690,31.2348,3,0,1
10/31/2005,17:00,150.63,151.05,144.49,145.79,231706,0.783625,0.402861,0.380764,59.57,79.00,85.44,144.0750,120.3626,1.7150,25.4274,4,0,1
11/30/2005,17:00,144.94,147.33,140.38,141.06,214145,0.246061,0.371501,-0.125440,55.10,58.88,75.16,144.4510,121.1780,3.3910,19.8820,5,0,1
12/30/2005,17:00,142.06,146.40,141.27,143.57,210463,0.022316,0.301664,-0.279348,56.95,48.70,62.19,144.5210,122.0826,0.9510,21.4874,6,0,1
01/31/2006,17:00,144.71,152.35,144.48,151.23,275695,0.457817,0.332894,0.124923,62.07,56.39,54.66,145.1170,123.1924,6.1130,28.0376,7,0,1
02/28/2006,17:00,150.95,151.35,140.78,142.46,277403,0.094204,0.285156,-0.190953,54.12,57.49,54.19,145.5150,124.1156,3.0550,18.3444,8,0,0
03/31/2006,17:00,143.32,147.45,141.32,146.66,277181,0.143290,0.256783,-0.113493,56.97,60.49,58.12,146.4100,125.1582,0.2500,21.5018,9,0,1
04/28/2006,17:00,146.56,153.91,146.05,150.24,260535,0.465700,0.298566,0.167133,59.28,57.36,58.45,147.1220,126.2324,3.1180,24.0076,10,0,0
05/31/2006,17:00,150.31,153.55,146.04,149.27,312901,0.635614,0.365976,0.269638,58.37,67.41,61.75,147.5170,127.1910,1.7530,22.0790,11,0,1
06/30/2006,17:00,149.13,151.71,145.97,151.40,277651,0.931408,0.479062,0.452346,59.83,74.93,66.57,147.2450,128.1720,4.1550,23.2280,12,0,1
07/31/2006,17:00,151.50,155.95,148.60,149.41,254825,0.993795,0.582009,0.411786,57.78,71.47,71.27,147.1090,129.1368,2.3010,20.2732,13,0,1
08/31/2006,17:00,150.23,152.96,144.62,145.24,230739,0.698699,0.605347,0.093352,53.64,60.47,68.96,147.0540,129.9930,1.8140,15.2470,14,0,1
09/29/2006,17:00,145.27,145.64,133.85,137.24,1401942,-0.178641,0.448549,-0.627190,46.71,34.95,55.63,146.6720,130.6786,9.4320,6.5614,15,0,1
10/31/2006,17:00,137.13,137.65,129.73,131.41,2572176,-1.329050,0.093029,-1.422080,42.41,15.54,36.99,145.4560,131.1910,14.0460,0.2190,16,0,1
11/30/2006,17:00,131.28,134.49,128.52,133.85,3157891,-2.020579,-0.329692,-1.690887,44.70,13.73,21.41,143.7180,131.7252,9.8680,2.1248,17,0,1
12/29/2006,17:00,133.57,134.54,130.02,131.11,2599351,-2.757924,-0.815339,-1.942585,42.65,11.84,13.70,142.5830,132.2756,11.4730,1.1656,18,0,1
01/31/2007,17:00,131.04,131.61,119.96,126.87,4422442,-3.642420,-1.380755,-2.261665,39.62,16.32,13.96,140.6040,132.7292,13.7340,5.8592,19,0,1
02/28/2007,17:00,126.62,130.50,125.35,130.05,3198858,-4.040217,-1.912647,-2.127570,42.90,19.71,15.96,138.5850,133.1528,8.5350,3.1028,20,0,0
03/30/2007,17:00,130.08,133.88,124.43,131.66,4433362,-4.177406,-2.365599,-1.811807,44.54,26.58,20.87,136.8240,133.5340,5.1640,1.8740,21,0,1
04/30/2007,17:00,131.82,132.48,127.14,130.25,3748718,-4.349763,-2.762432,-1.587331,43.36,29.71,25.33,134.7090,133.8010,4.4590,3.5510,22,0,1
05/31/2007,17:00,130.20,130.69,125.22,127.51,4224615,-4.653806,-3.140707,-1.513099,41.09,27.36,27.88,132.5190,134.1190,5.0090,6.6090,0,1,1
06/29/2007,17:00,127.73,134.03,127.30,133.65,4174478,-4.349181,-3.382401,-0.966780,47.70,29.20,28.76,131.3600,134.6218,2.2900,0.9718,0,2,1
