"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
05/10/2002,17:00,101.21,102.95,100.72,102.89,25828,0.109288,0.021858,0.087430,74.05,86.06,82.73,100.7350,99.9734,2.1550,2.9166,2,0,0
05/17/2002,17:00,102.65,104.44,102.36,103.08,34212,0.208823,0.059251,0.149573,74.40,87.39,84.84,101.1510,99.9506,1.9290,3.1294,3,0,0
05/24/2002,17:00,103.10,103.14,101.71,101.74,21332,0.177533,0.082907,0.094626,67.40,83.59,85.68,101.3660,99.8930,0.3740,1.8470,4,0,0
05/31/2002,17:00,101.49,101.62,100.53,101.17,22491,0.105524,0.087430,0.018093,64.61,73.01,81.33,101.4900,99.8236,0.3200,1.3464,5,0,0
06/07/2002,17:00,101.12,101.31,100.50,100.61,31043,0.003232,0.070591,-0.067359,61.90,61.20,72.60,101.4170,99.7832,0.8070,0.8268,6,0,0
06/14/2002,17:00,100.37,101.80,99.97,101.80,13022,0.017981,0.060069,-0.042088,65.23,56.01,63.41,101.4730,99.7716,0.3270,2.0284,7,0,0
06/21/2002,17:00,101.89,102.16,101.06,101.39,15599,-0.003376,0.047380,-0.050756,63.18,50.13,55.78,101.7620,99.7126,0.3720,1.6774,8,0,0
06/28/2002,17:00,101.27,102.51,101.27,102.43,24965,0.062894,0.050483,0.012411,66.10,56.79,54.31,101.8640,99.7088,0.5660,2.7212,9,0,0
07/05/2002,17:00,102.46,102.72,102.07,102.37,9405,0.109311,0.062248,0.047063,65.77,59.99,55.64,101.9000,99.7078,0.4700,2.6622,10,0,0
07/12/2002,17:00,102.34,103.05,101.30,103.05,20016,0.198677,0.089534,0.109143,67.70,69.30,62.03,102.0530,99.6988,0.9970,3.3512,11,0,0
07/19/2002,17:00,103.17,103.67,102.57,103.41,23442,0.295147,0.130657,0.164491,68.71,74.33,67.87,102.1050,99.6850,1.3050,3.7250,12,0,0
07/26/2002,17:00,103.22,103.22,101.68,102.01,25049,0.255685,0.155662,0.100022,60.78,69.73,71.12,101.9980,99.6346,0.0120,2.3754,13,0,0
08/02/2002,17:00,101.99,103.05,101.47,102.31,17666,0.245785,0.173687,0.072098,61.80,61.58,68.54,102.0550,99.6242,0.2550,2.6858,14,0,0
08/09/2002,17:00,102.30,102.64,101.93,102.33,8028,0.236823,0.186314,0.050509,61.87,50.26,60.52,102.1710,99.5884,0.1590,2.7416,15,0,0
08/16/2002,17:00,102.37,104.80,102.23,104.80,19760,0.424139,0.233879,0.190260,69.43,69.21,60.35,102.5900,99.5960,2.2100,5.2040,16,0,0
08/23/2002,17:00,104.78,106.20,104.57,105.44,21036,0.617118,0.310527,0.306591,71.03,81.52,67.00,102.9540,99.5998,2.4860,5.8402,17,0,0
08/30/2002,17:00,105.49,106.44,104.96,105.79,20051,0.789200,0.406262,0.382938,71.89,91.96,80.89,103.3940,99.5808,2.3960,6.2092,18,0,0
09/06/2002,17:00,105.81,106.68,104.43,106.42,24066,0.965284,0.518066,0.447218,73.44,91.40,88.29,103.7930,99.6526,2.6270,6.7674,19,0,0
09/13/2002,17:00,106.38,107.01,105.64,106.62,17663,1.108196,0.636092,0.472104,73.92,93.57,92.31,104.2180,99.7792,2.4020,6.8408,20,0,0
09/20/2002,17:00,106.59,106.74,105.05,106.41,26742,1.190783,0.747030,0.443753,72.42,93.65,92.87,104.5540,99.9176,1.8560,6.4924,21,0,0
09/27/2002,17:00,106.57,107.96,106.57,107.11,25688,1.297759,0.857176,0.440582,74.30,90.65,92.63,104.9240,100.0726,2.1860,7.0374,22,0,0
10/04/2002,17:00,107.28,107.62,106.18,106.19,25160,1.293391,0.944419,0.348972,67.76,83.32,89.21,105.3420,100.2204,0.8480,5.9696,23,0,0
10/11/2002,17:00,106.29,106.67,105.37,105.94,22778,1.255287,1.006593,0.248695,66.06,76.81,83.59,105.7050,100.3678,0.2350,5.5722,24,0,0
10/18/2002,17:00,106.02,106.77,105.70,106.17,14382,1.229476,1.051169,0.178307,66.88,71.83,77.32,106.0890,100.5568,0.0810,5.6132,25,0,0
10/25/2002,17:00,105.99,106.07,103.47,103.47,25974,0.979858,1.036907,-0.057049,51.18,57.74,68.79,105.9560,100.6510,2.4860,2.8190,26,0,0
11/01/2002,17:00,103.54,103.98,103.11,103.55,27027,0.779503,0.985426,-0.205923,51.54,45.10,58.22,105.7670,100.8286,2.2170,2.7214,27,0,0
11/08/2002,17:00,103.39,103.51,101.66,102.20,30599,0.505955,0.889532,-0.383577,45.40,23.96,42.27,105.4080,100.9674,3.2080,1.2326,28,0,0
11/15/2002,17:00,102.12,102.69,101.52,101.93,17961,0.264332,0.764492,-0.500160,44.27,15.76,28.27,104.9590,101.0912,3.0290,0.8388,29,0,0
11/22/2002,17:00,101.95,104.06,101.94,104.06,25395,0.241928,0.659979,-0.418051,54.03,18.20,19.31,104.7030,101.2656,0.6430,2.7944,30,0,0
11/29/2002,17:00,104.15,104.42,103.34,104.19,14174,0.231989,0.574381,-0.342392,54.55,29.09,21.01,104.4810,101.4418,0.2910,2.7482,31,0,0
